From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2012-10-11,,,6.505,13.2575,9.632083333333332,,0.4066666666666667,1.1477272727272727,,,,,,,30.697916666666668,72.37458333333333,0.6458333333333334,280.55833333333334,165.84125,1002.38125,0.45416666666666666
2012-10-12,,,6.647916666666667,14.249583333333334,10.275416666666667,,0.41791666666666666,1.2856521739130435,,,,,,,30.287499999999998,77.67166666666667,0.6279166666666667,278.7808333333333,77.40583333333333,1003.2841666666667,0.45125
2012-10-13,,,8.490416666666667,12.032083333333333,10.456666666666667,,0.42791666666666667,1.064782608695652,,,,,,,30.31833333333333,76.85958333333333,0.61875,288.1991304347826,102.97458333333333,1002.0058333333333,0.4495833333333334
2012-10-14,,,8.618333333333334,10.01125,9.67125,,0.3271428571428571,0.8395833333333332,,,,,,,30.13,77.15375,0.6124999999999999,264.8613043478261,165.63875,998.0258333333333,0.4495833333333334
2012-10-15,,,6.1187499999999995,7.039583333333333,6.344166666666666,,0.19444444444444445,1.435625,,,,,,,30.494583333333335,71.66833333333334,0.6183333333333333,227.15842105263158,207.6875,1000.5137500000001,0.45
2012-10-16,,,7.74,4.245,6.335,,0.095,,,,,,,,29.560000000000002,77.9,0.58,179.45,0.55,1005.88,0.445
2012-10-17,,,,,,,,,,,,,,,,,,,,,
2012-10-18,,,5.19,8.75,6.66,,0.18,2.04,,,,,,,27.58,93.23,0.56,226.63,0.55,1005.14,0.44
2012-10-19,,,11.68,26.398750000000003,19.992083333333333,,0.44625000000000004,1.2273333333333334,,,,,,,27.25583333333333,92.79124999999999,0.58875,272.44176470588235,52.66166666666666,1004.9079166666667,0.4454166666666666
2012-10-20,,,8.635416666666666,18.28708333333333,13.660833333333334,,0.2745,1.231,,,,,,,27.631249999999998,92.72583333333334,0.57875,264.86727272727273,63.5725,1005.0012499999999,0.44416666666666665
2012-10-21,,,40.59,57.25,56.72,,1.01,2.62,,,,,,,27.85,93.16,0.59,312.33,0.55,1005.35,0.45
2012-10-22,,,,,,,,,,,,,,,,,,,,,
2012-10-23,,,,,,,,,,,,,,,,,,,,,
2012-10-24,,,,,,,,,,,,,,,,,,,,,
2012-10-25,,,6.0721428571428575,7.070714285714286,6.237857142857143,,0.23200000000000004,1.0114285714285713,,,,,,,30.59714285714286,81.67857142857143,0.6085714285714285,141.39214285714286,322.31,992.1592857142857,0.4471428571428571
2012-10-26,,,8.503333333333334,9.761666666666667,9.432083333333333,,0.6391304347826087,0.9075000000000001,,,,,,,29.7625,79.76166666666667,0.6033333333333334,154.0111111111111,224.41291666666666,1003.4066666666666,0.4479166666666667
2012-10-27,,,6.445,6.3125,6.119583333333334,,0.27666666666666667,1.164782608695652,,,,,,,30.135833333333334,74.29291666666667,0.6295833333333333,178.9104166666667,202.01708333333332,1002.6608333333334,0.45125
2012-10-28,,,5.966666666666666,4.275416666666667,4.81375,,0.25875,1.095,,,,,,,30.531666666666666,72.90291666666667,0.6858333333333334,167.72208333333333,124.91125,1002.0516666666667,0.45999999999999996
